;T2M_RANGE;TS;T2MDEW;T2MWET;T2M_MAX;T2M_MIN;T2M;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS10M_MIN;WS10M_RANGE;WS50M;WS50M_MAX;WS50M_MIN;WS50M_RANGE
20000101;5.66;2.52;2.87;2.9;6.67;1.01;2.95;4.7;98.69;0.2;100.17;3.57;5.19;1.85;3.34;5.56;8.41;2.27;6.16
20000102;4.95;5.44;5.4;5.54;8.47;3.51;5.69;5.62;97.88;0.85;99.94;6.15;11.05;4.12;6.93;8.51;14.91;5.31;9.6
20000103;5.12;5.52;5.33;5.63;8.59;3.48;5.92;5.62;95.88;1.98;99.27;6.57;11.39;4.73;6.66;9.22;15.27;6.05;9.21
20000104;3.34;2.21;1.82;2.18;3.82;0.48;2.54;4.39;95.0;2.88;98.88;6.97;8.88;4.88;4.01;9.43;12.71;6.25;6.45
20000105;9.59;4.58;4.23;4.55;9.42;-0.17;4.86;5.37;95.62;1.81;98.45;10.12;13.34;6.47;6.87;13.41;17.73;8.42;9.3
20000106;7.25;4.51;4.23;4.64;8.79;1.54;5.05;5.25;94.06;0.82;98.68;7.12;11.32;3.05;8.27;10.25;15.43;6.47;8.96
20000107;5.75;5.56;5.1;5.49;7.62;1.87;5.89;5.55;94.62;2.85;98.74;10.08;12.74;6.02;6.73;13.38;16.9;7.83;9.07
20000108;3.59;3.07;2.31;3.0;5.64;2.05;3.69;4.52;90.62;0.44;99.07;7.29;8.13;6.1;2.03;10.5;11.83;9.12;2.7
20000109;5.83;0.49;0.93;1.06;4.2;-1.63;1.2;4.09;96.25;0.19;100.38;4.26;6.26;2.64;3.62;6.83;9.19;5.21;3.98
20000110;6.31;1.55;1.52;1.64;5.0;-1.31;1.75;4.27;98.12;1.23;100.76;6.53;8.42;3.38;5.05;8.77;11.47;6.57;4.89
20000111;3.31;6.81;6.62;6.9;8.45;5.14;7.17;6.04;96.19;3.8;100.39;8.86;11.41;6.48;4.94;11.96;14.98;9.11;5.88
20000112;5.0;5.65;5.3;5.6;7.1;2.1;5.9;5.62;95.94;18.59;99.48;6.98;10.84;1.96;8.88;9.37;14.28;2.51;11.77
20000113;3.61;0.9;0.45;0.79;3.07;-0.54;1.12;3.97;95.31;1.81;99.45;3.69;5.02;2.32;2.7;5.56;7.84;3.75;4.09
20000114;3.54;1.95;1.51;1.92;4.01;0.47;2.33;4.21;94.19;2.36;100.48;7.66;9.44;5.3;4.15;10.69;13.02;7.73;5.29
20000115;6.05;0.27;0.39;0.66;3.94;-2.1;0.93;3.85;95.81;0.2;101.79;4.0;7.21;2.16;5.05;6.26;10.05;3.55;6.49
20000116;5.27;0.51;0.59;0.69;3.12;-2.15;0.77;3.91;98.31;0.16;101.89;2.98;3.98;1.92;2.06;5.04;5.98;3.61;2.37
20000117;4.52;2.0;2.37;2.4;5.15;0.63;2.44;4.46;98.56;0.17;101.55;4.35;5.71;3.2;2.5;6.73;7.59;5.33;2.26
20000118;2.74;2.78;2.8;2.87;4.64;1.9;2.95;4.58;98.38;0.36;101.45;3.65;4.49;2.62;1.87;5.44;6.38;4.34;2.04
20000119;4.64;1.76;1.95;2.26;5.08;0.44;2.57;4.33;95.62;0.14;101.56;2.56;3.55;0.58;2.97;4.42;6.64;0.91;5.73
20000120;3.77;1.55;1.94;2.01;4.15;0.39;2.09;4.33;98.06;0.35;101.14;4.12;5.35;3.11;2.24;6.92;7.64;6.43;1.21
20000121;4.15;1.88;1.65;1.85;4.34;0.19;2.05;4.27;97.0;0.37;101.01;4.62;8.14;3.56;4.58;6.59;11.32;4.13;7.19
20000122;6.19;2.23;1.58;2.18;5.34;-0.85;2.79;4.27;91.81;0.97;99.9;8.6;11.93;4.23;7.7;12.15;15.9;7.8;8.1
20000123;5.74;0.35;0.27;0.58;4.19;-1.56;0.88;3.85;95.69;0.21;100.42;4.27;5.72;2.59;3.12;6.94;9.3;5.35;3.95
20000124;3.37;0.05;0.4;0.52;2.48;-0.88;0.64;3.91;98.12;0.77;100.36;1.58;2.55;0.24;2.3;2.82;5.34;0.45;4.89
20000125;6.23;0.75;0.94;1.1;5.2;-1.03;1.26;4.09;97.38;0.19;100.73;2.07;2.96;1.34;1.62;3.28;4.91;1.7;3.21
20000126;3.77;1.1;1.1;1.23;4.09;0.33;1.36;4.09;97.88;0.26;100.91;3.12;4.62;2.09;2.53;4.96;7.12;3.23;3.9
20000127;3.98;1.72;1.47;1.77;4.41;0.43;2.08;4.21;95.75;0.5;100.41;5.68;7.25;3.95;3.3;8.27;9.27;7.23;2.02
20000128;5.61;4.67;4.26;4.61;8.3;2.69;4.95;5.25;95.25;7.43;98.47;9.7;12.9;6.83;6.07;12.87;16.72;9.41;7.31
20000129;3.19;7.32;6.56;7.19;9.16;5.98;7.82;6.23;91.69;4.51;97.32;13.93;16.09;10.47;5.62;18.43;21.1;14.43;6.67
20000130;3.61;7.46;7.05;7.48;9.78;6.17;7.91;6.41;94.19;2.79;98.58;10.2;15.02;4.76;10.27;13.86;19.68;7.44;12.24
20000131;2.5;7.98;7.61;7.98;9.57;7.08;8.36;6.59;94.88;2.21;99.26;9.0;14.96;5.01;9.95;12.16;19.63;6.73;12.9
20000201;4.02;6.78;6.48;6.8;8.87;4.85;7.14;6.1;95.38;2.39;98.83;7.27;10.25;3.03;7.22;10.11;13.41;5.33;8.09
20000202;3.76;4.28;3.69;4.23;6.64;2.88;4.76;5.0;92.75;0.3;99.77;7.85;10.43;4.41;6.02;11.12;13.53;6.73;6.8
20000203;2.45;4.69;4.55;4.78;6.62;4.17;5.01;5.25;96.69;0.76;100.77;5.67;7.23;3.85;3.38;8.06;10.06;6.2;3.87
20000204;4.16;8.3;8.1;8.38;10.82;6.66;8.65;6.71;96.12;1.47;100.41;7.95;9.07;6.72;2.35;10.73;12.15;9.09;3.05
20000205;1.34;7.0;6.44;6.82;8.15;6.8;7.19;6.04;94.88;0.47;99.96;7.19;8.4;5.95;2.45;9.66;11.18;7.98;3.2
20000206;5.17;7.8;7.26;7.73;10.27;5.11;8.18;6.47;93.88;1.89;98.83;8.67;12.97;4.55;8.41;11.8;17.22;7.2;10.02
20000207;6.74;4.69;3.71;4.45;9.31;2.57;5.2;5.07;90.06;4.4;98.23;10.5;13.52;6.33;7.2;14.09;18.23;8.5;9.73
20000208;6.72;4.15;2.38;3.53;8.7;1.98;4.67;4.7;85.44;5.18;97.89;12.0;16.99;5.81;11.18;16.01;22.18;7.82;14.36
20000209;5.55;4.69;3.42;4.26;7.87;2.32;5.08;4.94;88.94;0.42;99.4;10.59;13.28;8.64;4.65;14.18;17.53;11.16;6.37
20000210;5.3;3.66;2.06;3.08;7.18;1.88;4.1;4.52;86.88;6.12;98.81;11.05;15.15;6.58;8.57;14.8;19.86;9.53;10.34
20000211;6.38;3.94;3.27;3.74;8.04;1.65;4.2;4.82;93.75;0.26;99.93;7.66;10.57;6.34;4.23;10.34;14.0;7.7;6.3
20000212;2.83;3.24;2.23;2.92;5.36;2.53;3.62;4.52;90.5;8.1;98.95;10.28;13.19;8.84;4.35;13.78;17.38;12.07;5.31
20000213;7.8;1.63;1.01;1.63;6.19;-1.61;2.25;4.09;91.25;0.39;99.65;5.77;8.68;2.71;5.97;8.55;12.28;4.52;7.77
20000214;10.14;1.76;2.03;2.19;8.02;-2.12;2.35;4.52;97.12;3.31;99.37;6.1;8.39;2.81;5.58;9.05;11.95;4.87;7.08
20000215;3.07;2.27;1.91;2.26;3.9;0.83;2.62;4.46;95.0;4.85;98.67;6.81;9.28;5.21;4.07;9.35;12.51;7.7;4.8
20000216;3.93;0.09;-0.33;0.09;2.42;-1.51;0.51;3.78;94.12;6.01;97.82;7.03;9.74;3.13;6.6;9.75;12.84;5.69;7.15
20000217;7.6;1.78;1.44;1.76;6.37;-1.22;2.07;4.33;95.44;5.2;98.54;5.42;8.48;3.21;5.27;7.88;12.23;5.55;6.68
20000218;2.63;4.91;4.48;4.86;6.59;3.96;5.23;5.37;94.75;4.76;97.68;8.3;9.49;5.62;3.88;11.3;12.87;8.01;4.86
20000219;7.53;1.69;1.03;1.6;5.56;-1.97;2.17;4.15;92.56;0.46;99.46;4.51;6.39;2.41;3.97;6.91;8.02;4.19;3.83
20000220;7.11;0.84;-0.05;0.74;5.33;-1.79;1.52;3.78;90.06;0.29;100.54;3.66;6.92;0.52;6.41;5.4;9.53;0.75;8.79
20000221;6.87;2.31;1.26;2.0;5.91;-0.95;2.74;4.15;90.5;4.13;100.26;5.57;7.88;2.27;5.61;8.11;9.85;3.67;6.18
20000222;6.98;1.38;0.36;1.2;5.73;-1.26;2.05;3.91;89.25;0.3;100.0;3.7;5.7;0.94;4.77;5.6;8.47;1.33;7.14
20000223;6.14;6.58;6.35;6.58;9.6;3.46;6.8;6.04;96.81;2.24;99.46;5.95;8.07;4.08;3.99;8.19;11.06;5.95;5.11
20000224;4.63;4.01;2.9;3.58;6.8;2.17;4.28;4.7;90.88;1.64;99.62;6.19;8.1;3.7;4.39;8.6;11.12;5.19;5.93
20000225;6.84;2.38;1.46;2.13;6.69;-0.15;2.8;4.21;91.19;0.17;100.34;5.73;8.46;3.81;4.66;8.79;10.59;7.78;2.81
20000226;6.36;4.29;2.57;3.45;7.33;0.97;4.34;4.64;89.12;1.08;100.22;6.52;8.65;4.6;4.04;8.77;11.49;6.3;5.2
20000227;6.97;7.08;6.6;6.98;9.84;2.87;7.37;6.23;94.81;14.18;98.6;9.52;12.77;3.67;9.09;12.62;16.8;4.9;11.9
20000228;3.1;2.93;1.69;2.37;4.98;1.87;3.07;4.39;90.75;1.75;98.33;7.81;10.45;5.08;5.38;10.34;13.38;6.61;6.77
20000229;4.84;3.9;3.16;3.58;6.73;1.89;4.01;4.88;94.12;4.23;97.49;6.77;8.58;3.92;4.66;9.03;11.09;5.09;6.0
20000301;5.3;2.69;1.3;2.15;5.45;0.15;2.99;4.27;89.06;0.33;98.75;6.6;8.49;4.16;4.34;9.44;10.69;8.34;2.34
20000302;9.25;4.76;4.37;4.73;9.19;-0.06;5.1;5.37;94.94;10.86;98.58;9.98;14.55;4.15;10.41;13.5;19.33;8.23;11.09
20000303;8.62;3.29;1.51;2.54;7.65;-0.97;3.57;4.39;86.88;2.09;98.35;8.38;11.8;5.92;5.88;11.25;15.46;9.04;6.41
20000304;5.48;-0.09;-1.64;-0.71;2.9;-2.58;0.21;3.36;88.31;0.24;100.41;5.27;7.25;3.34;3.91;8.04;9.03;6.87;2.16
20000305;7.87;2.76;1.47;2.24;7.16;-0.7;3.02;4.21;90.12;0.29;100.62;6.17;9.69;2.88;6.8;8.98;12.52;5.77;6.74
20000306;8.2;8.41;7.55;8.06;12.4;4.2;8.58;6.53;93.31;0.53;99.94;8.27;10.02;6.84;3.18;11.04;12.71;9.48;3.23
20000307;3.8;8.79;8.45;8.78;10.55;6.76;9.11;6.96;95.5;3.03;99.63;8.51;10.02;7.2;2.83;11.45;12.99;9.83;3.16
20000308;4.15;11.06;10.12;10.7;13.67;9.52;11.28;7.81;92.44;3.1;99.41;11.88;13.56;10.21;3.35;15.63;17.28;13.81;3.46
20000309;3.37;8.73;7.55;8.23;10.48;7.11;8.9;6.47;91.25;0.81;100.14;9.17;12.77;3.46;9.31;12.3;16.96;5.68;11.28
20000310;2.65;7.99;7.37;7.76;9.12;6.48;8.16;6.41;94.69;1.33;100.15;7.32;11.02;2.73;8.29;9.97;14.67;5.23;9.45
20000311;6.23;6.53;4.66;5.63;9.29;3.05;6.6;5.31;87.56;0.16;100.0;7.34;11.59;2.83;8.77;10.14;15.34;6.13;9.21
20000312;5.88;6.05;4.47;5.08;9.14;3.26;5.7;5.25;91.94;0.13;100.41;4.6;6.05;3.3;2.75;6.05;7.08;5.09;1.99
20000313;5.29;9.2;8.38;8.86;11.69;6.4;9.33;6.9;93.69;2.38;100.27;6.7;8.81;4.83;3.98;9.14;12.2;7.0;5.2
20000314;7.09;5.87;4.14;5.07;9.32;2.23;6.0;5.19;88.0;1.58;100.21;8.01;11.02;5.88;5.14;10.78;13.89;8.16;5.73
20000315;6.66;4.65;3.63;4.21;7.54;0.88;4.79;4.94;92.38;0.38;101.11;6.37;8.91;4.22;4.7;9.01;11.22;7.42;3.8
20000316;4.76;7.45;5.87;6.62;10.38;5.62;7.39;5.74;90.56;0.2;101.17;5.22;6.23;4.53;1.7;7.23;7.62;6.86;0.76
20000317;5.32;7.13;5.96;6.56;10.24;4.92;7.15;5.74;92.31;0.6;101.24;4.73;6.02;3.08;2.93;6.98;7.49;6.26;1.24
20000318;7.32;5.48;3.23;4.52;10.04;2.72;5.81;4.76;84.44;0.1;101.56;3.4;4.87;0.97;3.9;4.81;7.16;1.35;5.81
20000319;11.8;5.08;4.54;5.3;12.2;0.4;6.07;5.25;89.75;0.04;101.45;2.55;4.36;0.92;3.44;3.73;5.75;1.26;4.5
20000320;6.67;7.5;5.45;6.27;11.23;4.55;7.1;5.55;89.94;0.26;100.87;2.7;3.43;1.69;1.74;3.79;4.78;2.56;2.22
20000321;6.67;6.17;4.48;5.44;10.35;3.68;6.39;5.25;88.12;0.16;100.04;2.7;4.41;0.68;3.73;3.84;5.17;0.98;4.19
20000322;9.31;5.69;3.44;5.12;12.09;2.78;6.81;4.88;80.62;0.01;99.48;1.11;2.64;0.05;2.59;1.55;4.42;0.04;4.38
20000323;8.04;4.86;4.16;4.6;9.23;1.19;5.04;5.19;93.81;8.52;98.89;6.25;8.27;2.78;5.49;8.48;10.88;4.8;6.08
20000324;8.24;6.24;4.69;5.49;10.08;1.84;6.3;5.43;89.94;1.08;98.27;4.34;6.89;2.91;3.98;6.58;8.56;4.16;4.4
20000325;6.63;3.34;2.09;2.77;6.83;0.19;3.46;4.52;90.88;0.78;98.55;3.61;4.54;1.98;2.55;5.19;7.28;4.18;3.1
20000326;8.09;4.21;1.78;2.87;8.16;0.08;3.97;4.39;86.25;0.56;98.64;2.91;6.05;1.04;5.02;4.34;8.74;1.19;7.55
20000327;6.15;4.19;2.26;3.23;7.26;1.11;4.21;4.52;87.69;1.53;99.72;6.55;8.33;4.48;3.84;9.05;10.35;7.02;3.34
20000328;8.34;2.13;-0.53;0.84;6.59;-1.74;2.21;3.66;83.31;0.38;100.42;6.21;8.53;4.64;3.88;8.77;10.95;7.18;3.77
20000329;10.42;2.84;-0.01;1.44;8.65;-1.77;2.9;3.85;82.38;0.05;100.13;6.62;8.69;4.26;4.43;9.48;10.76;7.84;2.92
20000330;11.59;3.01;-0.25;1.4;9.19;-2.4;3.05;3.78;80.62;0.02;99.53;3.44;5.06;1.82;3.24;5.3;7.95;2.89;5.05
20000331;9.5;3.17;0.93;2.39;7.9;-1.6;3.84;4.15;82.44;0.39;98.5;1.84;2.58;0.54;2.04;2.47;3.28;0.77;2.52
20000401;8.39;4.01;2.38;3.19;7.53;-0.86;4.01;4.64;89.38;2.43;97.85;3.28;4.26;2.01;2.24;4.59;6.39;3.21;3.18
20000402;4.68;5.46;4.67;5.05;8.18;3.5;5.44;5.43;94.94;10.44;97.62;2.9;6.19;0.98;5.22;4.02;7.86;1.9;5.96
20000403;2.87;1.23;0.16;0.72;3.19;0.32;1.28;3.97;92.25;12.26;97.54;11.22;12.57;6.91;5.66;14.58;16.16;8.67;7.48
20000404;5.13;1.79;-1.88;0.05;5.04;-0.1;1.98;3.36;76.12;0.26;98.3;9.44;11.97;5.93;6.04;12.92;15.7;9.04;6.66
20000405;9.43;2.98;0.55;1.73;7.8;-1.63;2.92;3.97;85.62;0.25;99.79;4.0;5.53;2.16;3.37;5.73;8.6;3.98;4.62
20000406;12.06;4.23;0.58;2.51;10.8;-1.26;4.45;3.97;78.19;0.0;100.91;2.0;3.11;1.26;1.85;2.89;6.26;1.77;4.49
20000407;11.67;5.68;2.51;3.9;11.18;-0.49;5.3;4.52;83.0;0.02;101.04;3.38;4.94;2.45;2.49;5.25;7.11;2.86;4.25
20000408;6.74;5.06;3.94;4.55;8.3;1.56;5.15;5.07;92.0;0.94;100.23;3.7;4.82;2.09;2.73;5.59;7.34;3.87;3.48
20000409;8.11;5.94;3.0;4.33;10.55;2.44;5.65;4.76;84.62;0.43;99.76;6.16;7.77;4.44;3.34;8.28;9.62;5.92;3.7
20000410;9.77;6.81;2.37;4.06;11.09;1.32;5.74;4.58;81.25;0.69;99.44;3.11;4.48;1.26;3.21;4.1;6.07;1.45;4.62
20000411;2.94;4.29;2.57;3.28;5.66;2.73;3.99;4.7;90.69;8.04;97.03;3.16;4.68;0.73;3.94;4.37;6.52;0.84;5.69
20000412;4.48;4.18;2.83;3.44;6.76;2.28;4.05;4.82;92.0;9.15;96.48;7.23;9.1;4.86;4.24;9.36;11.57;6.55;5.02
20000413;3.99;4.13;2.76;3.41;6.57;2.57;4.06;4.76;91.38;6.3;97.11;5.98;8.04;4.3;3.74;7.91;10.84;6.06;4.78
20000414;8.86;4.21;1.3;2.57;8.02;-0.84;3.84;4.27;84.62;0.64;97.99;4.45;6.03;2.57;3.46;6.38;7.48;5.21;2.28
20000415;7.38;1.75;0.01;0.94;5.21;-2.17;1.87;3.91;87.38;0.62;97.62;3.22;4.77;1.24;3.53;4.73;5.91;2.14;3.77
20000416;11.41;4.68;1.23;2.87;9.75;-1.67;4.51;4.27;81.25;1.18;97.48;3.25;6.45;0.17;6.27;4.42;8.75;0.23;8.52
20000417;5.02;4.54;2.88;3.58;7.12;2.1;4.29;4.82;90.88;6.96;96.8;7.49;8.88;5.23;3.65;9.59;11.23;6.8;4.43
20000418;8.41;6.41;4.43;5.28;10.77;2.36;6.14;5.37;89.69;9.86;97.8;4.16;6.02;1.98;4.04;5.63;7.53;3.34;4.2
20000419;9.0;8.14;5.26;6.55;12.71;3.7;7.83;5.68;85.06;9.04;98.2;5.37;9.1;0.13;8.98;7.22;12.41;0.45;11.97
20000420;7.62;10.76;8.23;9.5;14.64;7.01;10.77;6.96;85.25;3.23;97.99;7.91;9.89;6.28;3.61;10.74;12.93;8.71;4.22
20000421;5.38;9.04;7.15;8.09;11.98;6.6;9.03;6.41;88.44;4.09;98.43;7.3;8.94;5.45;3.48;9.88;11.62;7.86;3.77
20000422;7.62;8.69;7.03;7.85;12.44;4.81;8.67;6.35;89.75;8.63;98.52;3.66;5.58;1.72;3.86;5.08;8.29;3.09;5.2
20000423;9.63;8.7;5.91;7.18;13.21;3.58;8.45;5.86;84.38;0.51;98.77;2.98;4.3;1.91;2.4;4.47;5.95;2.45;3.5
20000424;7.38;8.9;6.78;7.67;12.55;5.17;8.57;6.23;88.81;4.48;98.76;3.95;5.24;2.48;2.77;5.66;7.84;4.16;3.69
20000425;7.45;10.27;8.55;9.39;14.07;6.62;10.23;7.08;89.81;9.7;98.24;5.52;7.02;2.95;4.07;7.7;9.41;5.74;3.67
20000426;5.17;9.53;7.94;8.63;12.34;7.17;9.33;6.77;91.31;4.97;98.29;3.47;4.86;2.01;2.86;5.2;7.5;2.25;5.25
20000427;6.61;10.19;7.46;8.58;13.37;6.76;9.7;6.53;86.81;1.0;98.7;4.41;6.58;2.15;4.43;6.2;7.96;4.47;3.49
20000428;7.94;11.19;8.48;9.58;14.56;6.62;10.7;7.02;87.0;2.26;98.8;2.61;3.14;1.91;1.23;3.9;6.12;2.4;3.72
20000429;7.66;10.01;8.41;9.24;14.68;7.02;10.07;6.96;89.88;1.22;99.32;2.95;4.57;0.78;3.79;3.95;5.53;1.05;4.48
20000430;9.52;9.82;7.8;8.92;14.83;5.32;10.05;6.59;86.5;0.04;100.18;2.57;4.09;0.95;3.14;3.75;6.02;1.37;4.65
20000501;11.33;10.85;7.33;8.8;15.88;4.55;10.27;6.41;82.75;0.11;100.46;2.44;3.39;0.84;2.55;3.7;5.9;0.88;5.02
20000502;10.54;11.09;7.17;8.77;16.42;5.88;10.37;6.29;82.31;0.03;100.61;3.0;5.67;0.41;5.26;4.27;7.06;0.46;6.6
20000503;4.41;7.89;6.01;6.84;10.03;5.62;7.68;5.8;89.38;0.55;100.6;6.01;7.72;3.88;3.84;7.96;9.73;6.02;3.71
20000504;9.13;8.33;4.17;5.9;12.6;3.47;7.62;5.13;80.38;0.07;100.39;4.45;5.33;2.91;2.42;6.19;6.86;5.8;1.05
20000505;10.66;9.31;6.47;7.55;14.26;3.6;8.63;6.1;87.06;0.11;99.86;5.19;6.28;4.21;2.07;6.6;7.41;5.51;1.9
20000506;14.26;12.59;9.49;10.87;19.48;5.23;12.26;7.57;84.5;0.02;99.52;5.58;6.83;3.84;2.98;7.35;8.24;6.45;1.8
20000507;12.25;13.05;9.53;11.19;19.59;7.34;12.87;7.51;81.62;0.05;99.71;5.69;7.2;4.34;2.87;7.55;8.83;6.13;2.7
20000508;12.72;13.29;10.55;11.67;19.4;6.69;12.79;8.12;86.88;0.13;99.8;4.66;5.96;2.1;3.86;6.3;7.45;4.41;3.03
20000509;13.68;14.55;10.26;12.05;20.8;7.12;13.83;7.87;80.75;0.12;99.8;1.05;1.85;0.12;1.73;1.59;3.83;0.29;3.54
20000510;10.33;12.98;10.51;11.55;17.81;7.48;12.58;8.0;87.0;0.16;100.02;4.78;6.77;1.85;4.92;6.29;9.05;3.09;5.96
20000511;8.37;10.22;5.83;7.85;14.56;6.19;9.87;5.74;77.88;0.03;100.24;9.07;10.66;7.03;3.62;11.57;13.26;9.12;4.14
20000512;12.45;12.27;8.65;10.26;18.24;5.79;11.86;7.08;82.06;0.05;100.15;5.67;7.47;3.52;3.95;7.41;9.7;5.91;3.78
20000513;13.1;14.63;11.07;12.51;20.19;7.08;13.96;8.36;83.81;0.18;100.15;3.12;4.11;2.31;1.8;4.36;6.23;2.6;3.63
20000514;12.31;16.68;13.35;14.94;21.85;9.54;16.53;9.64;82.62;0.18;100.11;3.34;4.68;2.22;2.46;5.05;5.61;2.97;2.64
20000515;9.64;16.66;13.76;15.22;21.4;11.76;16.68;9.89;84.06;0.82;99.5;3.73;5.93;2.05;3.88;5.47;7.5;3.47;4.03
20000516;9.96;13.26;9.59;11.27;17.83;7.87;12.95;7.57;81.19;2.43;98.7;5.27;7.27;2.55;4.72;7.41;9.07;5.09;3.99
20000517;4.4;9.21;6.6;7.78;11.44;7.05;8.96;6.16;85.94;6.48;98.3;7.21;10.66;3.11;7.55;9.73;13.39;5.42;7.97
20000518;4.78;8.64;6.45;7.45;11.27;6.49;8.45;6.1;87.62;4.48;98.31;6.7;8.66;5.53;3.13;8.99;10.94;7.8;3.13
20000519;6.62;8.45;5.97;7.17;11.93;5.3;8.37;5.92;85.56;4.17;98.53;5.87;8.48;2.73;5.75;8.19;10.66;5.5;5.16
20000520;9.8;9.66;6.68;7.97;13.49;3.69;9.26;6.23;84.25;6.33;98.92;3.52;5.06;1.73;3.32;4.89;6.37;2.01;4.36
20000521;6.76;10.33;7.89;8.94;13.05;6.29;10.01;6.71;87.19;2.17;98.65;3.69;5.18;2.23;2.95;5.27;6.28;4.11;2.16
20000522;7.27;10.33;6.15;8.0;13.16;5.9;9.83;5.98;78.75;0.41;99.27;3.55;5.98;0.34;5.66;4.68;6.96;0.52;6.44
20000523;7.63;9.4;8.4;9.01;13.8;6.18;9.64;7.02;91.94;9.42;98.73;6.2;9.45;2.48;6.97;8.9;12.44;5.28;7.16
20000524;7.61;8.61;5.05;6.88;12.06;4.44;8.71;5.49;79.19;0.21;98.98;3.84;5.95;1.52;4.44;5.58;7.25;2.72;4.53
20000525;7.66;8.02;5.45;6.65;10.88;3.21;7.85;5.68;84.94;2.74;98.7;5.34;8.52;2.68;5.84;7.6;10.62;4.78;5.84
20000526;5.19;8.44;6.71;7.49;10.8;5.62;8.28;6.23;90.06;13.07;98.55;3.82;5.73;0.92;4.8;5.16;7.23;1.59;5.63
20000527;6.75;7.75;4.8;6.19;10.73;3.98;7.59;5.49;83.31;6.79;97.98;7.41;10.55;2.46;8.09;10.05;13.3;5.11;8.2
20000528;6.66;7.36;4.88;6.12;10.48;3.81;7.36;5.49;85.06;2.27;98.05;4.12;6.84;0.59;6.24;5.83;8.36;0.85;7.51
20000529;6.91;8.85;5.26;6.98;11.96;5.05;8.71;5.62;80.31;0.9;99.07;5.24;7.43;1.4;6.04;7.12;8.97;2.3;6.67
20000530;9.61;9.93;4.69;7.22;14.39;4.78;9.76;5.37;73.06;0.66;99.23;1.31;2.82;0.12;2.7;2.05;5.45;0.15;5.3
20000531;10.78;10.33;6.46;8.41;14.33;3.54;10.37;6.1;78.5;1.88;99.5;4.22;7.72;1.98;5.73;5.98;10.56;2.54;8.02
20000601;7.72;13.83;12.23;13.01;17.4;9.68;13.81;9.03;90.31;4.02;99.0;7.45;9.05;5.45;3.61;9.96;11.86;7.04;4.81
20000602;6.25;13.0;11.71;12.33;15.72;9.47;12.96;8.67;92.31;12.72;99.42;4.18;7.08;0.58;6.5;5.58;9.86;0.86;9.0
20000603;6.9;12.27;10.8;11.38;15.16;8.26;11.97;8.18;92.81;11.24;99.62;4.23;6.23;2.59;3.64;5.5;8.63;2.96;5.67
20000604;6.78;12.68;9.62;10.83;15.34;8.56;12.04;7.51;86.0;12.82;99.5;2.71;3.95;0.48;3.47;3.57;5.38;0.93;4.45
20000605;7.86;11.9;8.29;9.7;15.11;7.24;11.12;6.84;83.69;1.5;99.86;1.68;2.47;0.31;2.16;2.12;3.87;0.49;3.38
20000606;7.98;10.43;8.02;9.26;14.07;6.09;10.51;6.71;85.0;2.33;99.77;5.54;9.84;0.52;9.31;7.58;12.64;0.8;11.84
20000607;9.02;11.39;8.11;9.62;15.33;6.31;11.13;6.77;82.62;1.01;100.07;4.29;6.47;0.82;5.65;6.27;7.93;1.44;6.5
20000608;8.88;13.51;11.09;12.35;18.02;9.15;13.6;8.36;85.69;0.64;99.15;5.45;8.91;1.41;7.5;7.87;11.46;2.62;8.84
20000609;11.41;12.63;11.23;11.95;18.58;7.17;12.68;8.54;91.0;5.45;98.79;4.18;6.52;1.2;5.32;5.55;8.34;1.97;6.36
20000610;9.69;12.64;7.9;9.94;16.5;6.81;11.98;6.71;77.75;0.21;99.3;5.66;7.99;3.6;4.39;7.51;10.48;4.34;6.14
20000611;7.8;11.84;8.37;9.94;15.37;7.56;11.52;6.9;82.06;0.37;99.43;6.44;8.53;4.29;4.25;8.81;10.61;6.62;3.98
20000612;11.39;16.04;13.13;14.48;21.5;10.11;15.83;9.52;84.69;0.37;99.81;8.11;9.35;5.84;3.51;10.79;12.15;8.61;3.54
20000613;7.88;13.86;9.53;11.57;16.44;8.56;13.61;7.45;78.0;0.61;100.05;6.67;9.2;2.53;6.66;9.04;11.91;4.78;7.12
20000614;7.94;11.48;10.52;11.07;15.59;7.65;11.62;8.0;93.06;5.23;99.99;3.83;6.2;1.98;4.22;5.63;7.98;3.95;4.03
20000615;9.6;12.26;8.05;10.04;16.25;6.65;12.04;6.71;77.69;0.08;100.47;3.18;4.9;1.55;3.34;4.62;6.27;2.6;3.67
20000616;13.32;15.4;10.29;12.64;20.8;7.48;14.99;8.0;75.25;0.02;100.55;2.59;4.73;1.11;3.62;3.73;8.1;1.72;6.38
20000617;11.66;18.69;15.85;17.23;24.08;12.42;18.61;11.35;84.94;0.21;100.27;6.2;9.19;2.36;6.83;8.68;11.75;4.95;6.79
20000618;12.42;19.44;15.98;17.85;25.7;13.28;19.73;11.41;80.12;0.05;99.96;4.16;6.67;1.12;5.55;6.46;9.86;1.55;8.31
20000619;12.27;19.64;16.4;18.08;25.49;13.23;19.75;11.84;82.25;0.0;99.19;4.66;7.55;2.34;5.2;7.2;9.81;4.91;4.9
20000620;7.85;16.99;14.73;15.74;20.85;13.0;16.75;10.62;87.94;2.69;98.88;4.22;6.94;1.48;5.46;5.88;8.67;2.12;6.55
